ANNEE;REGION;GENDER;AGE_GROUP;PATH_CATEGORY;NB_ETUDIANTS;POPULATION_INSEE_SEGMENT;NB_ETUDIANTS_ANNEE_TOTAL
2022;Auvergne-Rhône-Alpes;F;25-29 ans;Data;2;227869;1382
2022;Auvergne-Rhône-Alpes;F;30-34 ans;Data;8;252973;1382
2022;Auvergne-Rhône-Alpes;F;35-39 ans;Data;4;265304;1382
2022;Auvergne-Rhône-Alpes;F;40-44 ans;Data;3;263561;1382
2022;Auvergne-Rhône-Alpes;F;45-49 ans;Data;3;261130;1382
2022;Auvergne-Rhône-Alpes;F;50-54 ans;Data;2;271085;1382
2022;Auvergne-Rhône-Alpes;F;55-59 ans;Data;1;266994;1382
2022;Auvergne-Rhône-Alpes;F;60 ans ou plus;Data;1;1201312;1382
2022;Auvergne-Rhône-Alpes;M;20-24 ans;Data;1;239255;1382
2022;Auvergne-Rhône-Alpes;M;25-29 ans;Data;8;229782;1382
2022;Auvergne-Rhône-Alpes;M;30-34 ans;Data;11;247295;1382
2022;Auvergne-Rhône-Alpes;M;35-39 ans;Data;14;254980;1382
2022;Auvergne-Rhône-Alpes;M;40-44 ans;Data;5;255076;1382
2022;Auvergne-Rhône-Alpes;M;45-49 ans;Data;8;261532;1382
2022;Auvergne-Rhône-Alpes;M;50-54 ans;Data;3;267934;1382
2022;Auvergne-Rhône-Alpes;M;55-59 ans;Data;4;260661;1382
2022;Auvergne-Rhône-Alpes;M;60 ans ou plus;Data;1;963910;1382
2022;Auvergne-Rhône-Alpes;Non renseigne;25-29 ans;Data;11;;1382
2022;Auvergne-Rhône-Alpes;Non renseigne;30-34 ans;Data;21;;1382
2022;Auvergne-Rhône-Alpes;Non renseigne;35-39 ans;Data;12;;1382
2022;Auvergne-Rhône-Alpes;Non renseigne;40-44 ans;Data;13;;1382
2022;Auvergne-Rhône-Alpes;Non renseigne;45-49 ans;Data;4;;1382
2022;Auvergne-Rhône-Alpes;Non renseigne;50-54 ans;Data;3;;1382
2022;Auvergne-Rhône-Alpes;Non renseigne;60 ans ou plus;Data;1;;1382
2022;Bourgogne-Franche-Comté;F;25-29 ans;Data;2;68487;1382
2022;Bourgogne-Franche-Comté;F;30-34 ans;Data;1;76666;1382
2022;Bourgogne-Franche-Comté;F;35-39 ans;Data;1;81864;1382
2022;Bourgogne-Franche-Comté;M;25-29 ans;Data;3;71275;1382
2022;Bourgogne-Franche-Comté;M;30-34 ans;Data;5;76158;1382
2022;Bourgogne-Franche-Comté;M;45-49 ans;Data;2;86369;1382
2022;Bourgogne-Franche-Comté;M;50-54 ans;Data;3;93561;1382
2022;Bourgogne-Franche-Comté;Non renseigne;30-34 ans;Data;4;;1382
2022;Bourgogne-Franche-Comté;Non renseigne;35-39 ans;Data;3;;1382
2022;Bretagne;F;25-29 ans;Data;1;83474;1382
2022;Bretagne;F;30-34 ans;Data;4;92960;1382
2022;Bretagne;F;35-39 ans;Data;1;100341;1382
2022;Bretagne;F;45-49 ans;Data;1;108917;1382
2022;Bretagne;M;25-29 ans;Data;1;86968;1382
2022;Bretagne;M;30-34 ans;Data;5;93119;1382
2022;Bretagne;M;35-39 ans;Data;3;98865;1382
2022;Bretagne;M;40-44 ans;Data;3;103643;1382
2022;Bretagne;M;45-49 ans;Data;3;110035;1382
2022;Bretagne;M;60 ans ou plus;Data;1;453105;1382
2022;Bretagne;Non renseigne;25-29 ans;Data;2;;1382
2022;Bretagne;Non renseigne;30-34 ans;Data;4;;1382
2022;Bretagne;Non renseigne;35-39 ans;Data;3;;1382
2022;Bretagne;Non renseigne;40-44 ans;Data;3;;1382
2022;Bretagne;Non renseigne;45-49 ans;Data;2;;1382
2022;Centre-Val de Loire;F;30-34 ans;Data;4;72900;1382
2022;Centre-Val de Loire;M;20-24 ans;Data;2;68680;1382
2022;Centre-Val de Loire;M;30-34 ans;Data;3;70117;1382
2022;Centre-Val de Loire;M;35-39 ans;Data;6;73397;1382
2022;Centre-Val de Loire;M;40-44 ans;Data;4;75290;1382
2022;Centre-Val de Loire;M;45-49 ans;Data;1;80214;1382
2022;Centre-Val de Loire;Non renseigne;25-29 ans;Data;2;;1382
2022;Centre-Val de Loire;Non renseigne;30-34 ans;Data;5;;1382
2022;Centre-Val de Loire;Non renseigne;35-39 ans;Data;5;;1382
2022;Centre-Val de Loire;Non renseigne;60 ans ou plus;Data;1;;1382
2022;DROM;F;40-44 ans;Data;1;;1382
2022;DROM;F;45-49 ans;Data;1;;1382
2022;DROM;M;30-34 ans;Data;3;;1382
2022;DROM;M;35-39 ans;Data;1;;1382
2022;DROM;M;40-44 ans;Data;1;;1382
2022;DROM;M;45-49 ans;Data;2;;1382
2022;DROM;M;50-54 ans;Data;1;;1382
2022;DROM;Non renseigne;30-34 ans;Data;1;;1382
2022;DROM;Non renseigne;40-44 ans;Data;1;;1382
2022;Grand Est;F;25-29 ans;Data;1;151462;1382
2022;Grand Est;F;30-34 ans;Data;4;168006;1382
2022;Grand Est;F;35-39 ans;Data;3;175546;1382
2022;Grand Est;F;40-44 ans;Data;2;173190;1382
2022;Grand Est;F;45-49 ans;Data;1;175778;1382
2022;Grand Est;F;55-59 ans;Data;1;193756;1382
2022;Grand Est;M;20-24 ans;Data;1;165884;1382
2022;Grand Est;M;25-29 ans;Data;5;156316;1382
2022;Grand Est;M;30-34 ans;Data;7;166340;1382
2022;Grand Est;M;35-39 ans;Data;10;170597;1382
2022;Grand Est;M;40-44 ans;Data;6;170271;1382
2022;Grand Est;M;45-49 ans;Data;1;174486;1382
2022;Grand Est;M;50-54 ans;Data;1;185608;1382
2022;Grand Est;M;55-59 ans;Data;2;187667;1382
2022;Grand Est;M;60 ans ou plus;Data;1;691444;1382
2022;Grand Est;Non renseigne;25-29 ans;Data;5;;1382
2022;Grand Est;Non renseigne;30-34 ans;Data;9;;1382
2022;Grand Est;Non renseigne;35-39 ans;Data;8;;1382
2022;Grand Est;Non renseigne;40-44 ans;Data;6;;1382
2022;Grand Est;Non renseigne;45-49 ans;Data;2;;1382
2022;Grand Est;Non renseigne;50-54 ans;Data;2;;1382
2022;Grand Est;Non renseigne;55-59 ans;Data;2;;1382
2022;Hauts-de-France;F;25-29 ans;Data;1;167340;1382
2022;Hauts-de-France;F;30-34 ans;Data;6;184679;1382
2022;Hauts-de-France;F;35-39 ans;Data;9;194611;1382
2022;Hauts-de-France;F;40-44 ans;Data;3;190967;1382
2022;Hauts-de-France;F;50-54 ans;Data;1;194384;1382
2022;Hauts-de-France;M;20-24 ans;Data;1;186248;1382
2022;Hauts-de-France;M;25-29 ans;Data;1;167168;1382
2022;Hauts-de-France;M;30-34 ans;Data;15;179837;1382
2022;Hauts-de-France;M;35-39 ans;Data;2;188234;1382
2022;Hauts-de-France;M;40-44 ans;Data;6;186844;1382
2022;Hauts-de-France;M;45-49 ans;Data;3;190618;1382
2022;Hauts-de-France;M;50-54 ans;Data;5;191932;1382
2022;Hauts-de-France;M;60 ans ou plus;Data;2;658155;1382
2022;Hauts-de-France;Non renseigne;20-24 ans;Data;1;;1382
2022;Hauts-de-France;Non renseigne;25-29 ans;Data;7;;1382
2022;Hauts-de-France;Non renseigne;30-34 ans;Data;7;;1382
2022;Hauts-de-France;Non renseigne;35-39 ans;Data;4;;1382
2022;Hauts-de-France;Non renseigne;40-44 ans;Data;7;;1382
2022;Hauts-de-France;Non renseigne;45-49 ans;Data;4;;1382
2022;Hauts-de-France;Non renseigne;50-54 ans;Data;3;;1382
2022;Hauts-de-France;Non renseigne;55-59 ans;Data;2;;1382
2022;Normandie;F;50-54 ans;Data;1;110009;1382
2022;Normandie;M;25-29 ans;Data;3;86310;1382
2022;Normandie;M;30-34 ans;Data;6;93536;1382
2022;Normandie;M;35-39 ans;Data;3;98057;1382
2022;Normandie;M;40-44 ans;Data;3;98210;1382
2022;Normandie;M;45-49 ans;Data;1;101654;1382
2022;Normandie;Non renseigne;25-29 ans;Data;4;;1382
2022;Normandie;Non renseigne;30-34 ans;Data;3;;1382
2022;Normandie;Non renseigne;35-39 ans;Data;2;;1382
2022;Normandie;Non renseigne;40-44 ans;Data;1;;1382
2022;Nouvelle-Aquitaine;F;25-29 ans;Data;1;150191;1382
2022;Nouvelle-Aquitaine;F;30-34 ans;Data;1;169765;1382
2022;Nouvelle-Aquitaine;F;35-39 ans;Data;3;180859;1382
2022;Nouvelle-Aquitaine;F;40-44 ans;Data;5;189218;1382
2022;Nouvelle-Aquitaine;F;45-49 ans;Data;2;198248;1382
2022;Nouvelle-Aquitaine;F;50-54 ans;Data;2;209507;1382
2022;Nouvelle-Aquitaine;F;55-59 ans;Data;1;213254;1382
2022;Nouvelle-Aquitaine;M;25-29 ans;Data;5;150388;1382
2022;Nouvelle-Aquitaine;M;30-34 ans;Data;11;164607;1382
2022;Nouvelle-Aquitaine;M;35-39 ans;Data;8;173221;1382
2022;Nouvelle-Aquitaine;M;40-44 ans;Data;6;182141;1382
2022;Nouvelle-Aquitaine;M;45-49 ans;Data;2;192658;1382
2022;Nouvelle-Aquitaine;M;50-54 ans;Data;2;201275;1382
2022;Nouvelle-Aquitaine;M;55-59 ans;Data;1;201205;1382
2022;Nouvelle-Aquitaine;M;60 ans ou plus;Data;1;855814;1382
2022;Nouvelle-Aquitaine;Non renseigne;25-29 ans;Data;9;;1382
2022;Nouvelle-Aquitaine;Non renseigne;30-34 ans;Data;7;;1382
2022;Nouvelle-Aquitaine;Non renseigne;35-39 ans;Data;5;;1382
2022;Nouvelle-Aquitaine;Non renseigne;40-44 ans;Data;6;;1382
2022;Nouvelle-Aquitaine;Non renseigne;45-49 ans;Data;5;;1382
2022;Nouvelle-Aquitaine;Non renseigne;50-54 ans;Data;3;;1382
2022;Nouvelle-Aquitaine;Non renseigne;55-59 ans;Data;1;;1382
2022;Nouvelle-Aquitaine;Non renseigne;60 ans ou plus;Data;2;;1382
2022;Occitanie;F;25-29 ans;Data;1;159618;1382
2022;Occitanie;F;30-34 ans;Data;4;176199;1382
2022;Occitanie;F;35-39 ans;Data;2;184360;1382
2022;Occitanie;F;40-44 ans;Data;3;190696;1382
2022;Occitanie;F;55-59 ans;Data;1;208809;1382
2022;Occitanie;M;20-24 ans;Data;2;173775;1382
2022;Occitanie;M;25-29 ans;Data;9;161274;1382
2022;Occitanie;M;30-34 ans;Data;11;169648;1382
2022;Occitanie;M;35-39 ans;Data;11;175287;1382
2022;Occitanie;M;40-44 ans;Data;4;182583;1382
2022;Occitanie;M;45-49 ans;Data;2;185979;1382
2022;Occitanie;M;55-59 ans;Data;2;196716;1382
2022;Occitanie;M;60 ans ou plus;Data;1;812218;1382
2022;Occitanie;Non renseigne;25-29 ans;Data;4;;1382
2022;Occitanie;Non renseigne;30-34 ans;Data;15;;1382
2022;Occitanie;Non renseigne;35-39 ans;Data;8;;1382
2022;Occitanie;Non renseigne;40-44 ans;Data;6;;1382
2022;Occitanie;Non renseigne;45-49 ans;Data;3;;1382
2022;Occitanie;Non renseigne;50-54 ans;Data;1;;1382
2022;Occitanie;Non renseigne;55-59 ans;Data;1;;1382
2022;Occitanie;Non renseigne;60 ans ou plus;Data;2;;1382
2022;Pays de la Loire;F;25-29 ans;Data;2;100624;1382
2022;Pays de la Loire;F;30-34 ans;Data;1;111621;1382
2022;Pays de la Loire;F;35-39 ans;Data;1;119787;1382
2022;Pays de la Loire;F;40-44 ans;Data;3;122673;1382
2022;Pays de la Loire;F;45-49 ans;Data;2;124709;1382
2022;Pays de la Loire;F;50-54 ans;Data;1;125881;1382
2022;Pays de la Loire;M;25-29 ans;Data;1;102069;1382
2022;Pays de la Loire;M;30-34 ans;Data;5;111092;1382
2022;Pays de la Loire;M;35-39 ans;Data;7;116874;1382
2022;Pays de la Loire;M;45-49 ans;Data;2;125732;1382
2022;Pays de la Loire;M;50-54 ans;Data;1;125268;1382
2022;Pays de la Loire;M;55-59 ans;Data;1;120546;1382
2022;Pays de la Loire;Non renseigne;25-29 ans;Data;4;;1382
2022;Pays de la Loire;Non renseigne;30-34 ans;Data;5;;1382
2022;Pays de la Loire;Non renseigne;35-39 ans;Data;5;;1382
2022;Pays de la Loire;Non renseigne;40-44 ans;Data;5;;1382
2022;Pays de la Loire;Non renseigne;45-49 ans;Data;2;;1382
2022;Pays de la Loire;Non renseigne;50-54 ans;Data;4;;1382
2022;Provence-Alpes-Côte d'Azur;F;25-29 ans;Data;3;133189;1382
2022;Provence-Alpes-Côte d'Azur;F;35-39 ans;Data;1;161490;1382
2022;Provence-Alpes-Côte d'Azur;F;40-44 ans;Data;3;163862;1382
2022;Provence-Alpes-Côte d'Azur;F;45-49 ans;Data;1;165283;1382
2022;Provence-Alpes-Côte d'Azur;F;50-54 ans;Data;1;177411;1382
2022;Provence-Alpes-Côte d'Azur;F;55-59 ans;Data;1;183572;1382
2022;Provence-Alpes-Côte d'Azur;M;25-29 ans;Data;1;130652;1382
2022;Provence-Alpes-Côte d'Azur;M;30-34 ans;Data;12;144254;1382
2022;Provence-Alpes-Côte d'Azur;M;35-39 ans;Data;6;149106;1382
2022;Provence-Alpes-Côte d'Azur;M;40-44 ans;Data;6;154003;1382
2022;Provence-Alpes-Côte d'Azur;M;45-49 ans;Data;4;157331;1382
2022;Provence-Alpes-Côte d'Azur;M;50-54 ans;Data;1;166314;1382
2022;Provence-Alpes-Côte d'Azur;M;55-59 ans;Data;1;168350;1382
2022;Provence-Alpes-Côte d'Azur;M;60 ans ou plus;Data;1;686518;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;25-29 ans;Data;6;;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;30-34 ans;Data;11;;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;35-39 ans;Data;5;;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;40-44 ans;Data;7;;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;45-49 ans;Data;4;;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;50-54 ans;Data;2;;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;55-59 ans;Data;1;;1382
2022;Provence-Alpes-Côte d'Azur;Non renseigne;60 ans ou plus;Data;1;;1382
2022;Île-de-France;F;20-24 ans;Data;4;422554;1382
2022;Île-de-France;F;25-29 ans;Data;8;438011;1382
2022;Île-de-France;F;30-34 ans;Data;24;465599;1382
2022;Île-de-France;F;35-39 ans;Data;25;450961;1382
2022;Île-de-France;F;40-44 ans;Data;29;434771;1382
2022;Île-de-France;F;45-49 ans;Data;13;414197;1382
2022;Île-de-France;F;50-54 ans;Data;3;403221;1382
2022;Île-de-France;F;55-59 ans;Data;5;393487;1382
2022;Île-de-France;F;60 ans ou plus;Data;1;1452302;1382
2022;Île-de-France;M;20-24 ans;Data;1;410020;1382
2022;Île-de-France;M;25-29 ans;Data;30;415647;1382
2022;Île-de-France;M;30-34 ans;Data;54;436749;1382
2022;Île-de-France;M;35-39 ans;Data;42;418794;1382
2022;Île-de-France;M;40-44 ans;Data;35;413734;1382
2022;Île-de-France;M;45-49 ans;Data;20;411669;1382
2022;Île-de-France;M;50-54 ans;Data;17;387897;1382
2022;Île-de-France;M;55-59 ans;Data;11;369531;1382
2022;Île-de-France;M;60 ans ou plus;Data;8;1142183;1382
2022;Île-de-France;Non renseigne;20-24 ans;Data;4;;1382
2022;Île-de-France;Non renseigne;25-29 ans;Data;58;;1382
2022;Île-de-France;Non renseigne;30-34 ans;Data;82;;1382
2022;Île-de-France;Non renseigne;35-39 ans;Data;55;;1382
2022;Île-de-France;Non renseigne;40-44 ans;Data;37;;1382
2022;Île-de-France;Non renseigne;45-49 ans;Data;19;;1382
2022;Île-de-France;Non renseigne;50-54 ans;Data;19;;1382
2022;Île-de-France;Non renseigne;55-59 ans;Data;8;;1382
2022;Île-de-France;Non renseigne;60 ans ou plus;Data;10;;1382
2023;Auvergne-Rhône-Alpes;F;25-29 ans;Data;2;227409;939
2023;Auvergne-Rhône-Alpes;F;30-34 ans;Data;6;253962;939
